ID plataforma;Empresa;Categoria;Fit;Compatibilidad;Contacto;Cargo;Telefono;Mail;Tipo;Licencia;Grupo;Activos;Equipo;Foco;Tecnologia;Custodios;Que hacen;A favor;En contra;Angulo de entrada;Objetivo;Prioridad;Alerta;Direccion;Sitio;Otros contactos;Fuentes;Agendado
pr_7550a8906b;LAFISE Valores de Panamá;Sin contacto;4;Alta;Christian Cedeño;;;;Casa de valores y administrador de inversiones;"Res. CNV-134-01 del 30/4/2001; miembro de la Bolsa de Valores de Panamá y participante de LatinClear";Grupo LAFISE: 12 países, +8.000 empleados, +200 oficinas, desde 1985;n/d;n/d;Banca privada y patrimonial, mercado local e internacional;n/d;"LatinClear local; internacional n/d";Brazo de valores del Grupo LAFISE en Panamá, con más de 20 años de licencia. Da asesoría bursátil, administración de portafolios y custodia. En banca privada ofrece LAFISE Portafolio, un producto de gestión personalizada, además de préstamos con garantía de títulos valores.;"- Tienen un producto de portafolio administrado (LAFISE Portafolio): necesitan proponerlo y reportarlo
- Grupo regional en 12 países: una implementación en Panamá abre la puerta a Centroamérica
- Contacto cargado
- Estructura de banca privada consolidada, no un proyecto incipiente";"- Es un grupo grande: la decisión puede escalar a la casa matriz en Nicaragua/Costa Rica
- Parte de su foco es mercado local, donde MaximUs aporta menos";LAFISE Portafolio: propuesta, análisis y reporte mensual al cliente. Y el argumento regional para escalar al grupo.;Presentar MaximUs — soporte a LAFISE Portafolio y banca privada;alta;;Ciudad de Panamá;lafise.com;;"https://www.lafise.com/blp/banca-privada/soluciones-internacionales/valores/
https://www.lafise.com/blp/banca-privada/inversiones-personalizadas/lafise-portafolio/
https://supervalores.gob.pa/wp-content/uploads/2021/03/Lafise.pdf";
pr_5a166d9dfe;Mercantil Servicios de Inversión;Sin contacto;4;Alta;Lucianio Scandolari;Gerente general;;;Casa de valores y administrador de inversiones;"Regulada por la SMV; miembro de la Bolsa de Valores de Panamá";Grupo Mercantil (Panamá, Venezuela y Suiza);n/d;n/d;Acceso a activos financieros globales, individuos e institucionales;Tiene canal de inversión en línea;Actúa como custodio local de otras casas (por ejemplo, Sardona Capital);Casa de valores y administrador de inversiones del Grupo Mercantil, conglomerado financiero con banca, seguros, reaseguros, gestión patrimonial y fintech en Panamá, Venezuela y Suiza. Ofrece inversión en línea, cuentas institucionales, fondos mutuos, cuentas de margen y notas estructuradas, con custodia y acceso a mercados globales.;"- Venden notas estructuradas: el analizador de notas es una puerta de entrada distinta y muy concreta
- Son custodio local de otras casas de valores: pueden funcionar como canal hacia los asesores que custodian ahí
- Grupo con presencia en Suiza: estándar de reporting alto
- Amplio catálogo (fondos, margen, estructurados) que hay que explicar y proponer al cliente";"- El 'Alex C.' de la plataforma no se pudo identificar: preguntar internamente quién es
- Grupo grande y con áreas propias: puede haber sistemas heredados";Doble: análisis de notas estructuradas para el equipo comercial, y propuesta/reporte para las casas que custodian con ellos.;Presentar MaximUs — notas estructuradas y rol de custodio/canal;media;;Ciudad de Panamá;mercantilsi.com.pa;"Lucianio Scandolari (Gerente general)
Samuel Ignacio Briceño Méndez (Representante legal)
'Alex C.' (—)";"https://www.mercantilsi.com.pa/
https://www.mercantilsi.com.pa/institucional/historia.html";
pr_7653b7dc0e;MetroBank;Sin contacto;4;Alta;Emanuel Bosquez;Gerente de Banca Privada e Inversiones;+507 216-8561;emanuel.bosquez@metrobanksa.com;Banco de licencia general con banca privada;"Superintendencia de Bancos; registrado ante la SMV";MetroBank / Metro Asset Management;n/d;n/d;"Banca privada, corporativa y de consumo; inversión local e internacional";n/d;n/d;Banco fundado en 1991 con plataforma completa de banca privada, corporativa y de consumo. En inversiones ofrece asesoría, cuentas de inversión administradas, cuenta local (bolsa panameña) y cuenta internacional, el Metro Strategic Income Fund y financiamiento con garantía de portafolio. A través de Metro Asset Management administra fondos mutuos. Oficinas en Punta Pacífica, con sucursales en la ciudad, Zona Libre de Colón y Chiriquí.;"- Tienen cuentas administradas y fondos propios: necesitan proponer y reportar, que es el core de MaximUs
- Metro Asset Management da un segundo interlocutor dentro de la misma casa
- Banco mediano: más ágil que Banco General o Banistmo para decidir
- Financian contra portafolio: necesitan ver y valuar la cartera del cliente";"- Al ser banco, puede haber área de tecnología con su propio calendario
- Es un gerente, no un vicepresidente: puede necesitar subir la decisión";Cuentas administradas y Metro Strategic Income Fund: propuesta al cliente, comparativo contra alternativas y reporte periódico.;Conseguir reunión con banca privada / Metro Asset Management;media;;Torre MetroBank, Punta Pacífica;metrobanksa.com;Emanuel Bosquez (Gerente de Banca Privada e Inversiones);"https://www.metrobanksa.com/asesores/
https://www.metrobanksa.com/banca-privada-metrobank/
https://www.metrobanksa.com/metro-asset-management/
https://supervalores.gob.pa/metrobank-s-a/";
pr_4b38ca9672;Banistmo;Con contacto previo;3;Media;Ana María Merizalde;(confirmar si sigue en el banco o pasó a Cibest Capital);;;Banco de licencia general;Superintendencia de Bancos de Panamá;Vendido en junio de 2026 por Grupo Cibest (ex Bancolombia) a Inversiones Cuscatlán Centroamérica, que pasará a llamarse Grupo Financiero BSC;Más de 3.000 clientes de banca privada en la región;n/d;Banca privada regional;n/d;n/d;"Filial panameña creada en 1973; en 2013 el Grupo Bancolombia compró HSBC Panamá y la renombró Banistmo. Su banca privada atiende más de 3.000 clientes en la región con soluciones locales e internacionales. El negocio de valores se armó en 2016 integrando Valores Bancolombia Panamá y Securities Banistmo, con renta fija, renta variable, fondos mutuos, notas estructuradas, derivados, divisas y apalancamiento. En junio de 2026 el grupo colombiano cerró la venta del banco por unos USD 1.400 millones, pero se quedó con el negocio de valores, que hoy opera separado bajo la marca Cibest Capital Panamá.";"- Banca privada grande, más de 3.000 clientes en la región
- El cambio de dueño abre revisión de proveedores y sistemas: es la ventana para entrar
- Ahora son dos puertas en vez de una: el banco bajo el grupo salvadoreño y Cibest Capital con el negocio de valores";"- Cambió de dueño hace un mes: durante la transición las decisiones se congelan
- El negocio de valores ya no está dentro del banco, se escindió a Cibest Capital
- Alto riesgo de que el contacto haya cambiado de entidad o de rol en la reorganización";"Antes de la reunión, confirmar dónde quedó Merizalde. Si está en el banco, el tema es banca privada; si pasó a Cibest Capital, el tema es el negocio de valores, que es el que nos interesa.";Confirmar dónde quedó el contacto tras la venta y retomar;media;Banistmo cambió de dueño en junio de 2026 y el negocio de valores se escindió a Cibest Capital — verificar dónde quedó el contacto antes de la reunión;Ciudad de Panamá;banistmo.com;"Ana María Merizalde (Contacto cargado)
Aimeé Sentmat de Grimaldo (Presidenta ejecutiva de Banistmo)";"https://www.valoraanalitik.com/banistmo-grupo-cibest-integracion-panama/
https://www.eltiempo.com/amp/economia/sector-financiero/grupo-cibest-completa-la-venta-de-banistmo-y-convierte-a-panama-en-su-plataforma-financiera-regional-3568069
https://www.banistmo.com/valores/sobre-nosotros
https://www.banistmo.com/personas/banca-privada";
pr_c0698a3179;Carlton Securities;Sin contacto;3;Media;Jorge Eduardo Vélez;Representante legal;;;Casa de valores;Res. SMV 238-2014, opera desde mayo de 2014;Independiente;n/d;Chica;Institucionales e individuos, locales e internacionales;"Sin plataforma propia; rutea a brokers internacionales";Brokers norteamericanos y globales (no los nombra);Casa de valores supervisada por la SMV que hace intermediación con todos los instrumentos habilitados, ruteando las operaciones a brokers norteamericanos y globales. Ofrece además forwards y contratos de futuros. Se presenta por agilidad, eficiencia y flexibilidad, diseñando soluciones a medida de cada cliente.;"- Chica y ágil: decisión en una o dos reuniones
- Contacto cargado y es el representante legal
- Si hoy son sobre todo ejecución, MaximUs les agrega la capa de asesoría que no tienen y les permite subir el ticket";"- Perfil aparentemente más transaccional (forwards y futuros) que de gestión de carteras
- No se ve un negocio de asesoría patrimonial declarado: hay que calificarlo en la reunión
- Sin datos de tamaño";Pasar de ejecutar a asesorar: propuesta y reporte al cliente como diferencial competitivo.;Calificar: ¿asesoran carteras o solo ejecutan?;media;;Calle 50, Torre Global Bank, piso 32, of. 3204;carltonvalores.com;;"https://www.carltonvalores.com/inicio/quienes-somos
http://apamec.org/miembros/";
pr_85c6e95551;Creand Securities Panamá;Sin contacto;3;Media;David Rabella;;;;Casa de valores + banca privada;Res. CNV 236-09 del 22/7/2009;Crèdit Andorrà Financial Group / Creand (fundado en 1950, 75 años);n/d en Panamá;n/d;Clientes privados internacionales, arquitectura abierta;Respaldo tecnológico y de research del grupo en Andorra;Plataforma propia del grupo;Casa de valores constituida en Panamá en 2009, dedicada a la gestión patrimonial de clientes privados de todo el mundo, con el respaldo del grupo andorrano Crèdit Andorrà. Junto con Creand Wealth Management operan la plataforma de banca y valores regulada del grupo para clientes de América, con servicio de banca privada de arquitectura abierta.;"- Arquitectura abierta declarada: los comparativos de fondos y ETFs les sirven
- Banca privada pura, sin ruido de banca comercial
- Clientes internacionales que exigen documentación prolija";"- Las decisiones de sistemas se toman en Andorra, no en Panamá
- Ya tienen research y plataforma del grupo: el hueco es más chico
- Riesgo de que la reunión quede en cortesía";Material y propuestas en español rioplatense/latino para los asesores locales, y comparativos independientes que el grupo no les da.;Explorar si deciden localmente o dependen de Andorra;media;;Ciudad de Panamá;creandsecurities.pa / creand.pa;;"https://creandsecurities.pa/en/about-us/
https://creand.pa/en/";
pr_c1252e466b;Firmus Financial;Sin contacto;3;Media;Yariela Samaniego;Oficial de cumplimiento y ejecutivo principal licenciado por la SMV;;;Casa de valores;Res. SMV 630-2014 del 5/12/2014;Firmus Group;n/d;11-50 empleados;Inversores privados, institucionales y corporativos, mercados internacionales;Se apoya en plataforma de trading online y automatizado;n/d;Casa de valores licenciada en 2014, con oficinas en Costa del Este. Bajo la marca Firmus Broker & Asset Management ofrece inversión online y trading automatizado en mercados internacionales, análisis, gestión y custodia de activos financieros internacionales, y diversificación de portafolios combinando inversiones y divisas.;"- 11-50 empleados: tamaño suficiente para tener varios asesores usando la herramienta
- Hacen gestión y diversificación de portafolios internacionales
- Ya trabajan con tecnología: no hay que evangelizar sobre software";"- El foco es trading online y automatizado, más ejecución que asesoría patrimonial
- El contacto cargado es de cumplimiento, no comercial: hay que pedir que nos derive al área de inversiones
- Yariela Samaniego también aparece asociada a Winexco Securities: confirmar dónde está hoy antes de escribirle";Si el negocio es trading, ir por el lado de diversificación de portafolios: propuesta y reporte para los clientes que sí quieren asesoría.;Calificar el negocio y pedir derivación al área comercial;media;El contacto figura también en Winexco Securities — confirmar antes de escribir;PH Times Square Center, of. 17 D-E, Costa del Este;firmus-financial.com / firmusbroker.com;;"https://www.firmus-financial.com/our-team.html
http://www.firmusbroker.com/";
pr_6d8015e5f1;Towerbank International;Sin contacto;3;Media;Yurgen Espinosa;Manager, Treasury and Investments;;;Banco local con casa de valores subsidiaria;"Superintendencia de Bancos; Tower Securities regulada por la SMV";Grupo Towerbank: Tower Securities (1990), Towertrust (1995), Tower Leasing (2010);n/d;101-500 empleados;Banca corporativa y personal, wealth management;n/d;n/d;Banco fundado en 1971, más de 50 años en banca corporativa y personal en Panamá y Latinoamérica. Su subsidiaria Tower Securities opera desde 1990 con puesto propio en la Bolsa de Valores de Panamá y maneja operaciones propias y de clientes. Ofrece wealth management con renta fija, acciones, bonos y fondos mutuos. Utilidad neta +18,8% en el primer trimestre de 2026.;"- Tower Securities es el interlocutor concreto y lleva 35 años operando
- Wealth management con fondos y renta fija: hay carteras que proponer y reportar
- Banco en crecimiento (utilidad +18,8% en 1T-2026): hay presupuesto";"- La parte fuerte del banco es corporativa; el negocio de inversión puede ser accesorio
- Estructura bancaria: ciclo de decisión más lento
- Tower Securities no publica ejecutivos propios: se entra por tesorería e inversiones del banco";Entrar por Tower Securities, no por el banco. Propuesta y reporte para los clientes de wealth management.;Conseguir reunión con Tower Securities / wealth management;media;;Calle 50 y Elvira Méndez, Torre Financial Tower;towerbank.com;"Yurgen Espinosa (Manager, Treasury and Investments)
Adriana Peña (Assistant Vice President, Private Banking)
Sagel de Reyes Tabernacle (Manager, Private Banking)
Mónica Vial (Gerente general (desde el 5/1/2026))";"https://www.towerbank.com/en/corporate-information
https://supervalores.gob.pa/wp-content/uploads/2021/03/Towerbank-International-2016.pdf";
pr_e5ba89d491;Banco Aliado;Sin contacto;2;Baja;Sandra Olaciregui;Vicepresidente Senior de Banca Privada;;;Banco de licencia general;"Superintendencia de Bancos; registrado ante la SMV";"Grupo Aliado — tercer banco de capital panameño; dueño también de Geneva Asset Management";El negocio de valores está en Geneva (+USD 2.000 M);n/d;Corporativo medio y alto en Panamá, Centroamérica, Caribe y Sudamérica;n/d;n/d;Banco de licencia general fundado en 1992, parte de Grupo Aliado, tercer banco de capital panameño del país. Su fuerte es el segmento corporativo selectivo, con depósitos, crédito, leasing, factoring y banca de inversión. El negocio de valores no lo hace el banco: lo canaliza a través de su afiliada Geneva Asset Management, que ofrece bonos, acciones, fondos e instrumentos de mercados internacionales.;"- Es la puerta de entrada natural a Geneva Asset Management, que sí es cuenta grande
- Banca privada propia además del canal de Geneva
- Grupo con capital panameño y decisión local";"- El banco en sí es corporativo: no es usuario de una herramienta de propuestas de inversión
- El interlocutor de inversiones real está en Geneva, no acá
- El 'Mathi' que estaba cargado no se pudo identificar en la alta gerencia";No tratarlo como cuenta separada: usarlo como vía de acceso a Geneva. Una sola visita para las dos fichas.;Usar como puerta de entrada a Geneva Asset Management;baja;Mismo grupo que Geneva Asset Management — coordinar una sola visita;Ciudad de Panamá;bancoaliado.com;"Sandra Olaciregui (VP Senior de Banca Privada)
Joseph Chreim (VP Senior de Desarrollo de Negocio y Datos)
Joseph Hamoui (VP Ejecutivo y CFO de Banco Aliado; vicepresidente de GenAsset)
Gustavo Eisenmann (Presidente)";"https://bancoaliado.com/gobierno-corporativo/alta-gerencia
https://www.bancoaliado.com/casa-de-valores
https://bancoaliado.com/banca-privada
https://supervalores.gob.pa/banco-aliado-s-a/";
pr_fa2a798e43;Banco General (BG Valores);Sin contacto;2;Baja;Michelle Núñez Olivares;Vicepresidente Ejecutiva y Gerente General de BG Valores;;;Banco más grande de Panamá + casa de valores propia;"BG Valores regulada por la SMV; Banco General con casa de valores propia (Banca Privada)";Grupo Financiero BG, listado en Latinex;n/d;Grande;"Fuerte en mercado local; banca privada";Estructura tecnológica propia de un banco grande;n/d;"BG Valores nació en 1987 como boutique de asesoría y gestión patrimonial con el nombre Wall Street Securities; Banco Continental la compró en 2004 por USD 56 millones para convertirla en su departamento de banca privada, y tras la fusión pasó a ser subsidiaria 100% de Banco General en 2007, renombrada BG Valores en 2010. Domina el mercado local: llegó a operar el 90% del secundario de acciones locales y el 47% del volumen de cuotas de fondos en la Bolsa de Valores de Panamá.";"- Si entra, es la cuenta más grande del mercado
- Banca privada consolidada con volumen real";"- Institución grande con sistemas propios y compras por proceso formal: no se cierra en una visita
- Su fuerte es el mercado local panameño, donde MaximUs aporta menos que en carteras internacionales
- Sin referido, llegar a la gerencia general de BG Valores en frío es difícil";Visita de posicionamiento, no de cierre. Objetivo realista: entender quién decide en banca privada y dejar sembrado.;Posicionamiento y mapeo de decisores;baja;;Ciudad de Panamá;bgeneral.com;"Michelle Núñez Olivares (VP Ejecutiva y Gerente General de BG Valores)
Francisco Ernesto Sierra Fábrega (VP Ejecutivo y Subgerente General de Banco General; preside la junta directiva de BG Valores)";"https://www.bgeneral.com/personas/bg-valores/
https://supervalores.gob.pa/banco-general-sa-casa-de-valores-de-banco-general-sa-banco-general-banca-privada/";
pr_b797a5c061;Fince;Sin contacto;1;Sin calificar;;;;;No identificado;No aparece en el registro de casas de valores de la SMV;n/d;n/d;n/d;n/d;n/d;n/d;No se encontró ninguna entidad llamada Fince en el registro de casas de valores de la Superintendencia del Mercado de Valores de Panamá ni en fuentes públicas. Las coincidencias más cercanas son Finec Asset Management Corp (Panamá) y LVM Casa de Valores. Puede ser un nombre mal cargado, una firma no regulada como casa de valores, o una referencia interna.;- Si es Finec Asset Management, entra en el perfil de boutique de gestión y valdría la pena;"- No se pudo verificar la existencia de la firma
- Sin contacto, sin sitio, sin licencia identificada
- Agendar a ciegas es quemar un slot de agenda";No agendar hasta confirmar de quién se trata. Preguntar internamente quién cargó la ficha.;Verificar identidad antes de agendar;baja;No identificada en el registro de la SMV — confirmar el nombre antes de agendar;n/d;n/d;;https://supervalores.gob.pa/informacion-de-personas-juridicas-o-entes-regulados/informacion-general-casas-de-valores/;
pr_e068559756;SeaGate Capital;Sin contacto;0;Descartar;;;;;Casa de valores LIQUIDADA;Licencia CNV-383-10 (22/9/2010) y administrador SNV-467-2013, ambas terminadas;—;—;—;—;—;—;SeaGate Capital Corp fue sancionada por la SMV con una multa de USD 1 millón tras varios años de investigación, por deficiencias de control en cuentas de inversión, en políticas, en la aprobación de márgenes de clientes y en el manejo de cuentas propias y de clientes. La SMV ordenó su liquidación forzosa administrativa mediante la resolución SMV-7-19 del 14 de enero de 2019. Hoy figura en los registros como casa de valores liquidada.;;"- La entidad no existe: liquidación forzosa ordenada por la SMV en enero de 2019
- Antecedente regulatorio grave: multa de USD 1 millón por manejo de cuentas de clientes
- Ni siquiera corresponde intentar el contacto";Eliminar de la base de prospectos.;No visitar — dar de baja en la plataforma;baja;LIQUIDADA por la SMV en 2019 (Res. SMV-7-19) — sacar de la base;—;—;;"https://supervalores.gob.pa/comunicado-publico-liquidacion-forzosa-administrativa-de-seagate-capital-corp/
https://www.estrategiaynegocios.net/finanzas/1505512-330/panamá-smv-multa-con-us1-millón-a-la-casa-de-valores-seagate";
